v1.0.1+20,,,,,,,
ID,Módulo,Descripción del Test,Resultado Esperado,Tipo Autom.,Estado Test,Comentarios
CONFIGURACIÓN INICIAL,,,,,,,
CU-CFG-001,Inicial,POS Nuevo escanea Token QR válido y obtiene access_token,Se obtiene access_token y refresh_token válidos; POS queda habilitado con el cierre vigente cargado,Manual,✅ Pasa,
CU-CFG-002,Inicial,POS Nuevo escanea Token QR vencido (>10m),Sistema rechaza el QR y muestra mensaje de error; solicita nuevo QR o login con usuario/contraseña en bsecurity,Manual,Pendiente,
CU-CFG-003,Inicial,access_token vencido se refresca automáticamente con refresh_token,La sesión se renueva sin intervención del operador; si falla el refresh solicita usuario y contraseña en bsecurity,Manual,Pendiente,
CIERRES Y HORARIOS,,,,,,,
CU-CIE-001,Cierres,Antes de las 14hs: ambos sorteos (Vesp y Noct) están apostables,El cierre muestra Vesp y Noct disponibles; se puede apostar a ambos,Manual,✅ Pasa,
CU-CIE-002,Cierres,Pasadas las 14hs: solo el sorteo Nocturno queda apostable,El Vespertino desaparece de los sorteos disponibles; solo se puede apostar al Nocturno,Manual,Pendiente,
CU-CIE-003,Cierres,Pasadas las 20hs: ningún sorteo de Juegos Tradicionales está apostable,Quiniela y Tómbola no permiten nuevas apuestas; el sistema muestra que no hay cierres activos,Manual,Pendiente,
CU-CIE-004,Cierres,Miércoles pasadas las 20hs: 5 de Oro no disponible hasta las 22:30,El sistema rechaza apuestas al 5 de Oro y no lo muestra hasta que el servidor libere el siguiente cierre,Manual,Pendiente,
CU-CIE-005,Cierres,La lista de sorteos se actualiza automáticamente (sin reiniciar POS),Al expirar `fechaCierre` el sistema actualiza los sorteos apostables en forma automática sin intervención del operador,Manual,⛔ Falla,"Falla en build Release Candidate (RC) al mediodía; sin embargo, en debug local funciona correctamente (Nacho). Pendiente de revisión de lógica por entorno."
QUINIELA,,,,,,,
QUI-1CS-001,Quiniela,1 cifra: sorteos Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,Automático,✅ Pasa,
QUI-1CE-002,Quiniela,1 cifra: premio al límite (premio 20) $20,Jugada aceptada,Automático,✅ Pasa,
QUI-1CE-003,Quiniela,1 cifra: premio fuera de rango (ej. 30) -> truncar a 3,Jugada aceptada con premio truncado,Manual,✅ Pasa,
QUI-1CA-004,Quiniela,1 cifra: apuesta menor a la mínima $0,Error UIException y carrito sin cambios,Manual,✅ Pasa,
QUI-1CB-005,Quiniela,1 cifra: apuesta mayor a la máxima $5000,Error UIException y carrito sin cambios,Manual,✅ Pasa,
QUI-2CS-001,Quiniela,2 cifras: Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,Automático,✅ Pasa,
QUI-2CE-002,Quiniela,2 cifras: premio al límite (premio 20),Jugada aceptada,Automático,✅ Pasa,
QUI-2CE-003,Quiniela,2 cifras: premio fuera de rango -> truncar,Jugada con premio truncado,Manual,✅ Pasa,
QUI-2CA-004,Quiniela,2 cifras: apuesta menor a la mínima,Error UIException,Manual,Pendiente,
QUI-2CB-005,Quiniela,2 cifras: apuesta mayor a la máxima,Error UIException,Manual,Pendiente,
QUI-RED-001,Quiniela,Redoblona: Vesp+Noct nros válidos $50 -> $100,Carrito $100 y campos limpios,Automático,✅ Pasa,
QUI-RED-002,Quiniela,Redoblona: un sorteo nros válidos $50,Carrito $50 y campos limpios,Automático,✅ Pasa,
QUI-RED-003,Quiniela,Redoblona: premio fuera de rango en 2do número,Error de validación,Manual,✅ Pasa,
QUI-RED-004,Quiniela,Redoblona: premio inválido en 2do número,Error con monto carrito sin cambios,Manual,✅ Pasa,
QUI-RED-005,Quiniela,Redoblona sorpresa $400,Carrito con monto de apuesta,Automático,✅ Pasa,
QUI-3CS-001,Quiniela,3 cifras: Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,Automático,✅ Pasa,
QUI-3CE-002,Quiniela,3 cifras sorpresa: Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,Automático,✅ Pasa,
QUI-3CE-003,Quiniela,3 cifras: premio al límite (premio 20),Jugada aceptada,Automático,✅ Pasa,
QUI-3CE-004,Quiniela,3 cifras: premio fuera de rango -> truncar,Jugada con premio truncado,Manual,✅ Pasa,
QUI-3CA-005,Quiniela,3 cifras: apuesta menor a la mínima,Error UIException,Manual,Pendiente,
QUI-3CB-006,Quiniela,3 cifras: apuesta mayor a la máxima,Error UIException,Manual,Pendiente,
QUI-3CC-007,Quiniela,3 cifras: premio 0 -> error de validación,Error en campo Premio y carrito sin cambios,Manual,✅ Pasa,
TÓMBOLA,,,,,,,
TOM-1NU-001,Tómbola,Rechazar jugada con 1 número (insuficiente),Carrito $0 + mensaje error,Automático,✅ Pasa,
TOM-2NU-001,Tómbola,Rechazar jugada con 2 números (insuficiente),Carrito $0 + mensaje error,Automático,✅ Pasa,
TOM-3NU-001,Tómbola,Jugada exitosa con 3 números en dos sorteos,Carrito $100 y campos limpios,Automático,✅ Pasa,
TOM-4NU-001,Tómbola,Jugada exitosa con 4 números en Vespertino,$50 en carrito y campos limpios,Automático,✅ Pasa,
TOM-5NU-001,Tómbola,Jugada exitosa con 5 números en Nocturno,$50 en carrito y campos limpios,Automático,✅ Pasa,
TOM-6NU-001,Tómbola,Jugada exitosa con 6 números en Nocturno,$50 en carrito y campos limpios,Automático,✅ Pasa,
TOM-6NU-002,Tómbola,Jugada con 6 números tras borrar uno de la sorpresa,$100 en carrito con 6 números,Automático,✅ Pasa,
TOM-7NU-001,Tómbola,Jugada exitosa con 7 números,$50 en carrito y campos limpios,Automático,✅ Pasa,
TOM-7NU-002,Tómbola,Rechazar jugada 7 nums por monto bajo mínimo (ej $20),Carrito $0 y mensaje de error de monto,Automático,✅ Pasa,
TOM-7NU-003,Tómbola,Rechazar jugada 7 nums por monto sobre máximo (ej $1000),Carrito $0 y mensaje de error de monto,Automático,✅ Pasa,
TOM-7NU-004,Tómbola,Jugada de 7 números por sorpresa,$100 en carrito y 7 números generados,Automático,✅ Pasa,
5 DE ORO,,,,,,,
ORO-C5N-001,5 de Oro,Jugada de 5 Números Común sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-R5S-001,5 de Oro,Jugada de 5 Números Revancha sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-R5M-002,5 de Oro,"Jugada de 5 Números Revancha manual ""1 2 3 4 48""",El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-R5E-003,5 de Oro,Jugada de 5 Números Revancha con nro fuera de rango,Error indicando que el número está fuera de rango y no agrega la jugada,Automático,✅ Pasa,
ORO-CM4-001,5 de Oro,Jugada de 4 Números Común sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-CM6-002,5 de Oro,Jugada de 6 Números Común,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-CM7-003,5 de Oro,Jugada de 7 Números Común,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-CM8-004,5 de Oro,Jugada de 8 Números Común,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-RM4-001,5 de Oro,Jugada de 4 Números Revancha sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-RM6-002,5 de Oro,Jugada de 6 Números Revancha,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-RM7-003,5 de Oro,Jugada de 7 Números Revancha,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-RM8-004,5 de Oro,Jugada de 8 Números Revancha,El sistema agrega la jugada correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
ORO-FR5-001,5 de Oro,Jugada de 5 Números Revancha a 3 sorteos futuros sorpresa,El sistema agrega las jugadas correctamente y el total de la venta se actualiza,Automático,✅ Pasa,
LOTERÍA,,,,,,,
LOT-ENT-001,Lotería,Jugar Lotería de un entero buscado por número,Agrega el entero al carrito correctamente,Automático,⛔ Falla,"Falla en autorización al seleccionar 'Entero'. Funciona si se eligen 10 fracciones."
LOT-ENT-002,Lotería,Jugar Lotería buscado por número no existente,Muestra un mensaje de error y no lo agrega,Automático,✅ Pasa,
LOT-FRA-001,Lotería,Ingresar 2 fracciones de un número de Lotería,Busca el número y agrega las 2 fracciones al carrito,Automático,✅ Pasa,
LOT-RES-001,Lotería,Realizar una reserva de un entero de Lotería,Agrega la reserva al carrito correctamente,Automático,⛔ Bloqueado,Falla en entorno de testing. Pendiente de revisión de datos/ambiente.
LOT-RES-002,Lotería,Realizar reserva de un entero con otra jugada en el carrito,Muestra error porque una reserva debe ir sola en el carrito,Automático,⛔ Bloqueado,Idem LOT-RES-001.
LOT-VER-001,Lotería,Listar el estado de las reservas de Lotería,Se listan todas las reservas correctamente en la pestaña correspondiente,Automático,✅ Pasa,
BUG-LOT-001,Lotería,Dropdown no actualiza correctamente tras venta parcial,,Manual,⛔ Falla,Fallo 'Entero' en autorización. Tras venta de 9/10, el texto dice '1/10' (OK), pero el menú sigue mostrando opciones 2-9 (Error). Pendiente revisión de logs.
SUPERMATCH,,,,,,,
SUP-SUC-001,Supermatch,Ingresar una prearmada existente y agregarla al carrito,Se listan las lineas y opciones de la prearmada y se almacena en el carrito,Automático,✅ Pasa,
SUP-INV-002,Supermatch,Ingresar una prearmada no existente y buscarla,Se muestra un cartel de error,Manual,Pendiente,
SERVICIOS DIGITALES,,,,,,,
PWC-ERR-001,Digitales,Pines Web: Carga con C.I. inválida,El sistema no lo agrega al carrito y muestra error de C.I. inválida,Automático,✅ Pasa,
PWC-OK1-002,Digitales,Pines Web: Carga con C.I. válida,El sistema lo agrega al carrito correctamente,Automático,✅ Pasa,
PWC-OK2-003,Digitales,Pines Web: Carga con C.I. válida y monto alto,El sistema lo agrega al carrito correctamente,Automático,✅ Pasa,
REC-INV-001,Digitales,Recarga Telefónica: Número inválido,El sistema no la agrega al carrito y muestra número inválido,Automático,✅ Pasa,
REC-SUC-002,Digitales,Recarga Telefónica: Carga exitosa,El sistema la agrega al carrito y actualiza el total,Automático,✅ Pasa,
REC-INV-003,Digitales,Recarga Telefónica: Monto inválido,El sistema no la agrega e indica monto inválido,Automático,✅ Pasa,
MI NEGOCIO,,,,,,,
RVS-RES-001,Mi Negocio,Ver resumen de ventas del día,Se cargan los datos de la fecha de hoy,Automático,✅ Pasa,
RVS-FCH-002,Mi Negocio,Cambiar la fecha en el resumen de ventas,Se cargan los datos de la fecha seleccionada,Automático,✅ Pasa,
RVS-APU-003,Mi Negocio,Ver resumen de ventas de apuestas agrupadas por producto,Categorizadas por productos y total de apuestas,Automático,✅ Pasa,
RVS-REC-004,Mi Negocio,Ver resumen de ventas de recargas,"Muestra texto ""No hay recargas"" si aplica",Automático,✅ Pasa,
RVS-ANU-005,Mi Negocio,Ver resumen de ventas de tickets anulados,Muestra tickets y cantidad al final,Automático,✅ Pasa,
ANU-PND-001,Mi Negocio,Ver anulados pendientes de entrega,Muestra lista de cupones,Automático,✅ Pasa,
ANU-ENT-002,Mi Negocio,Ver anulados entregados,Muestra lista de cupones,Automático,✅ Pasa,
ANU-COB-003,Mi Negocio,Ver anulados cobrados forzosamente,Muestra lista de cupones,Automático,✅ Pasa,
ACP-PND-001,Mi Negocio,Ver aciertos pagos pendientes de entrega,Listado de aciertos pendientes,Automático,✅ Pasa,
ACP-ENT-002,Mi Negocio,Ver aciertos pagos entregados,Listado de aciertos entregados,Automático,✅ Pasa,
CTC-LST-001,Mi Negocio,Ver listado de movimientos en cuenta corriente,Saldo actual y movimientos,Automático,✅ Pasa,
ACR-FUL-001,Mi Negocio,Ver aciertos recientes con detalle completo,Listado y despliegue de detalle con tap,Automático,✅ Pasa,
CONFIGURACIÓN,,,,,,,
SRT-CRG-001,Config,Ver sorteos actuales cargados,Se muestran los sorteos cargados,Automático,✅ Pasa,
SRT-ACT-002,Config,Actualizar sorteos actuales,Se muestran los nuevos sorteos,Automático,✅ Pasa,
ANULACIONES,,,,,,,
CU-CAN-001,Anula,Anular ticket inmediato (Quiniela/Tómbola),Ticket anulado correctamente,Manual,✅ Pasa,
CU-CAN-002,Anula,Anular ticket diferido (5 de Oro),Permite anular siempre que el sorteo no haya cerrado o pasado el tiempo límite,Manual,Pendiente,
CU-CAN-003,Anula,Intentar anular ticket fuera de plazo,"Sistema arroja error ""Anulación fuera de plazo""",Manual,Pendiente,
CU-CAN-004,Anula,Anular ticket de Juego Instantáneo (Digitales / Recargas),Informa que el producto no permite anulación,Manual,Pendiente,
PAGOS DE ACIERTOS,,,,,,,
CU-PAG-001,Pagos,Pagar acierto,"Validación exitosa; muestra opción pagar/no pagar con monto. Al pagar muestra nro doc, monto, lista de jugadas y total.",Manual,✅ Pasa,Flujo visual completo verificado y correcto.
CU-PAG-002,Pagos,Pagar acierto (Tómbola),Validación exitosa; emisión de comprobante de pago,Manual,✅ Pasa,
CU-PAG-003,Pagos,Pago de ticket ganador menor a $10.000,Descuenta el monto del saldo de la terminal (Caja),Automático,✅ Pasa,
CU-PAG-004,Pagos,Pago de ticket con premio mayor (Dirigir a Banca),"Muestra mensaje ""Premio Mayor: Dirigirse a Banca""",Manual,Pendiente,
CU-PAG-005,Pagos,Cobro ticket vencido (>30 días o según ley),El sistema muestra mensaje claro indicando que el ticket está vencido y no se puede pagar.,Manual,✅ Pasa,Se muestra correctamente la pantalla de ticket vencido.
CU-PAG-006,Pagos,Pagar acierto y repetir jugadas,Premio se resta del costo de las nuevas jugadas; carrito queda correctamente calculado.,Manual,✅ Pasa,El monto a pagar finaliza con el premio restado del costo de las jugadas repetidas. Funciona perfecto.
CU-PAG-007,Pagos,Pagar acierto y NO repetir jugadas,"Premio se agrega, carrito queda en rojo (negativo) y se imprime pago.",Manual,✅ Pasa,El carrito muestra el valor negativo correctamente y habilita la impresión del pago.
CU-PAG-008,Pagos,Pagar acierto ya cobrado (pero no vencido),"Muestra que ya está pago, permite imprimir comprobante, y luego de confirmar muestra las jugadas para repetir.",Manual,✅ Pasa,Flujo verificado. Permite impresión de comprobante y repetición de jugadas de tickets ya cobrados.
IMPRESIÓN,,,,,,,
CU-IMP-001,Printer,Impresión de ticket legible,CB legible por scanner; datos de agencia y fecha correctos,Manual,✅ Pasa,
CU-IMP-002,Printer,Falta de papel durante impresión,Sistema detecta error y permite re-imprimir una vez cargado el papel,Manual,✅ Pasa,
SIN CONECTIVIDAD (A DETERMINAR),,,,,,,
CU-OFF-001,Offline,Intento de venta sin internet,Sistema debe informar falta de conexión (si no hay modo offline permitido),Manual,Pendiente,Pendiente de definir caso de uso
CU-OFF-002,Offline,Reintento automático al recuperar conexión,Sincronización de transacciones pendientes en el POS,Manual,Pendiente,Pendiente de definir caso de uso
UX Y NAVEGACIÓN,,,,,,,
CU-NAV-001,UX,Tiempo de respuesta entre pantallas < 1s,Navegación fluida sin lags perceptibles,Manual,✅ Pasa,Resuelto en v1.0.1+19. Confirmada fluidez en release mode.
REGLAS DE NEGOCIO (SORTEOS),,,,,,,
CU-RN-001,Reglas,Control de horario de cierre estricto,No permite vender Quiniela/Tómbola si el reloj del POS > hora de cierre del sorteo,Manual,Pendiente,Revisar caso de uso
CU-RN-002,Reglas,Importes mínimos y máximos por apuesta,Sistema valida que la apuesta esté en el rango permitido antes de emitir,Manual,Pendiente,
ALTERNATIVAS,,,,,,,
CU-ALT-001,Alternativas,Jugada rechazada SIN alternativa,Sistema informa jugada rechazada,Manual,✅ Pasa,
CU-ALT-002,Alternativas,Jugada rechazada CON alternativa,Sistema propone alternativas parciales de la banca,Manual,✅ Pasa,
CU-ALT-003,Alternativas,Rechazar alternativa (No confirmar),Permite cancelar la operación sin agregar nada al carrito,Automático,✅ Pasa,
CU-ALT-004,Alternativas,Cerrar ventana de alternativas (X / Escape),Acción interpretada como rechazo implícito,Manual,✅ Pasa,"Sin botón X, se rechaza por timeout y queda en carrito"
CARRITO,,,,,,,
CU-CAR-001,Carrito,Acumulación de jugadas,Suma de importes correcta al agregar múltiples tickets (incluyendo alternativas aceptadas),Automático,✅ Pasa,
CU-CAR-002,Carrito,Eliminar una jugada específica del carrito,Permite quitar un ticket específico antes de la confirmación de pago,Automático,✅ Pasa,
CU-CAR-003,Carrito,Vaciar el carrito completamente,Eliminar todas las jugadas del carrito en una sola acción,Automático,✅ Pasa,
CU-CAR-310,Carrito,Falla al eliminar última jugada del carrito (v1.0.1+20),No debe colgar la app,Manual,✅ Pasa,
BUGS Y FEATURES A TRATAR,,,,,,,
BUG-TOM-001,Tómbola,Tecleo rápido terminando en '4' pierde el dígito al confirmar (v1.0.1+17),,Manual,✅ Pasa,Resuelto en v1.0.1+17
BUG-5OR-001,5 de Oro,Consulta de Sorteo sin Resultados mostraba Pantalla Gris,,Manual,✅ Pasa,Resuelto en v1.0.1+17
BUG-5OR-002,5 de Oro,Selector de fecha queda deshabilitado tras visitar sorteo sin resultados,,Manual,✅ Pasa,Resuelto en v1.0.1+17
BUG-CFG-001,SO/Tablet,Cambiar sonido de Terminal bloquea la UI del POS,,Manual,✅ Pasa,Verificado en v1.0.1+20.
BUG-PAG-199,Pagos,Imprimir detalles del acierto antes de pagar,,Manual,✅ Pasa,Functional (REQ-228 union)
BUG-RN-102,Reglas,Alerta por importe máximo excedido (Issue 102),,Manual,✅ Pasa,"Funciona por jugada individual. Caveat: No aplica al acumulado del carrito."
BUG-CFG-002,Config,PIN visible (sin asteriscos) en pantalla de Alerta por importe,,Manual,⛔ Falla,Falta masking en inputs.
BUG-CFG-003,Config,Desincronización de PIN entre pantallas,,Manual,⛔ Falla,Cambiar PIN en Preferencias no actualiza el de Alertas.
BUG-CFG-004,Config,Falta de botón Confirmar al cambiar PIN existente,,Manual,⛔ Falla,Requiere Enter en teclado.
BUG-LOT-192,Lotería,QR de Lotería ilegible (v1.0.1+20),,Manual,✅ Pasa,Cerrado por decisión (solo lectura móvil).
REQ-LOT-288,Lotería,Test automático de flujo de venta (v1.0.1+20),,Automático,Pendiente,
BUG-ORO-311,5 de Oro,Jugada desaparece al intentar emitir con error,,Manual,✅ Pasa,
